mandarin
pomelo
citron
papeda
kumquat
lemon;bitter orange;citron
lime;key lime;lemon
key lime;papeda;citron
sweet orange;mandarin;pomelo
bitter orange;mandarin;pomelo
grapefruit;sweet orange;pomelo
tangor;madarin;sweet orange
rangpur;mandarin;lemon
tangelo;mandarin;pomelo
limequat;key lime;kumquat
calamondin;kumquat;mandarin
clementine;mandarin;sweet orange
yuzu;mandarin;papeda
meyer lemon;bitter orange;citron
sunquat;meyer lemon;kumquat
procimequat;limequat;kumquat
yuzuquat;yuzu;kumquat
hyuganatsu;yuzu;pomelo
ichang lemon;papeda;pomelo
kabosu;papeda;bitter orange;
sudachi;papeda;mandarin
